GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ContaMagicaRepo,com.taMagica,ContaMagica,10,141,3,25,2,36,3,16,0,5
ContaMagicaRepo,com.taMagica,INVALID_OPER_EXCEPTION,0,4,0,0,0,2,0,1,0,1
